Evictions_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
67,0.09423971,0.057450617,0.150817512,Male,Gender
72,0.138721509,0.091320672,0.205584923,Male,Gender
87,0.135911204,0.074409376,0.233618743,Male,Gender
NA,0.117666355,0.081684279,0.167919498,Male,Gender
2,0.118766121,0.016068382,0.520780933,Trans,Gender
12,0.140593982,0.017724769,0.597288036,Trans,Gender
32,0.121312109,0.016196592,0.536559391,Trans,Gender
37,0.124172411,0.016676575,0.542382198,Trans,Gender
47,0.110281539,0.014769176,0.505793934,Trans,Gender
NA,0.155826179,0.021790302,0.604684944,Trans,Gender
2,0.103422252,0.073793595,0.144700413,No,High_School_Grad
7,0.106927211,0.07832405,0.145594627,No,High_School_Grad
12,0.108221089,0.08045673,0.145963451,No,High_School_Grad
17,0.109765448,0.083907203,0.143685214,No,High_School_Grad
22,0.116989039,0.089330533,0.15321282,No,High_School_Grad
27,0.119692848,0.09149031,0.156786389,No,High_School_Grad
32,0.123118052,0.093772491,0.162219276,No,High_School_Grad
37,0.124708258,0.094752028,0.164620288,No,High_School_Grad
42,0.12500618,0.095802728,0.162735516,No,High_School_Grad
47,0.122119838,0.091781175,0.164280384,No,High_School_Grad
52,0.115716518,0.087782878,0.151911977,No,High_School_Grad
57,0.13601973,0.092387563,0.19675531,No,High_School_Grad
62,0.111420886,0.081584601,0.151014947,No,High_School_Grad
67,0.124322282,0.082534234,0.183160966,No,High_School_Grad
72,0.156290345,0.106925104,0.223766377,No,High_School_Grad
87,0.155173456,0.093143386,0.247551872,No,High_School_Grad
NA,0.105535367,0.074203108,0.150983014,No,High_School_Grad
2,0.108512767,0.075899735,0.153372476,Yes,High_School_Grad
7,0.120515997,0.083987787,0.170776929,Yes,High_School_Grad
12,0.111519385,0.078172862,0.157324763,Yes,High_School_Grad
17,0.118738341,0.085085329,0.164131274,Yes,High_School_Grad
22,0.123406009,0.089626723,0.168871095,Yes,High_School_Grad
27,0.12789806,0.092533793,0.1766434,Yes,High_School_Grad
32,0.128566995,0.092895683,0.176791865,Yes,High_School_Grad
37,0.129647496,0.094303299,0.176263929,Yes,High_School_Grad
42,0.133335377,0.096386461,0.181758286,Yes,High_School_Grad
47,0.141050488,0.102275255,0.192706609,Yes,High_School_Grad
52,0.12582567,0.090924296,0.172756247,Yes,High_School_Grad
57,0.111945278,0.078460504,0.157011826,Yes,High_School_Grad
62,0.15201402,0.109533225,0.207449712,Yes,High_School_Grad
72,0.127890408,0.088354716,0.182029277,Yes,High_School_Grad
87,0.114449039,0.069631663,0.184365866,Yes,High_School_Grad
NA,0.137928452,0.095330731,0.196289481,Yes,High_School_Grad
2,0.104190002,0.074111242,0.146008331,None,None
7,0.109047447,0.079207753,0.14952378,None,None
12,0.108757695,0.080085164,0.147811842,None,None
17,0.111204222,0.084096112,0.146963672,None,None
22,0.117959443,0.089375324,0.155580738,None,None
27,0.120968909,0.09165259,0.159874519,None,None
32,0.123898659,0.093646881,0.164306922,None,None
37,0.125553128,0.094675272,0.166611963,None,None
42,0.126176167,0.095884724,0.165407611,None,None
47,0.12601941,0.093942877,0.170135974,None,None
52,0.117333983,0.088285505,0.15524706,None,None
57,0.132007322,0.090066387,0.190131396,None,None
62,0.116156752,0.084845274,0.157599003,None,None
67,0.124322282,0.082534234,0.183160966,None,None
72,0.150610358,0.103211026,0.215418957,None,None
87,0.147028572,0.088441042,0.234914671,None,None
NA,0.111275914,0.077947243,0.159012008,None,None
2,0.102457655,0.073494834,0.142519031,No Change,Relationship_Status
7,0.107948745,0.078923446,0.147094025,No Change,Relationship_Status
12,0.106905121,0.079474198,0.144063392,No Change,Relationship_Status
17,0.110534212,0.083900068,0.145549141,No Change,Relationship_Status
22,0.116738334,0.089193149,0.152673363,No Change,Relationship_Status
27,0.119432341,0.091205184,0.156624652,No Change,Relationship_Status
32,0.122185417,0.093335591,0.160334061,No Change,Relationship_Status
37,0.123681385,0.094429228,0.162076073,No Change,Relationship_Status
