Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
58,0.073369818,0.051477137,0.10404384,Disabled,Disability_Status
59,0.082204116,0.057364086,0.116894833,Disabled,Disability_Status
60,0.069674991,0.048773656,0.099335756,Disabled,Disability_Status
61,0.080309193,0.056850623,0.112863021,Disabled,Disability_Status
62,0.073863912,0.051107252,0.106521767,Disabled,Disability_Status
63,0.071578445,0.050922194,0.099970238,Disabled,Disability_Status
64,0.059280836,0.040871957,0.086503267,Disabled,Disability_Status
65,0.073002283,0.049796973,0.10680425,Disabled,Disability_Status
66,0.065329925,0.045439648,0.094047749,Disabled,Disability_Status
67,0.068914773,0.048726436,0.097294462,Disabled,Disability_Status
68,0.056009795,0.040450254,0.077308781,Disabled,Disability_Status
69,0.057537005,0.040558091,0.081239112,Disabled,Disability_Status
70,0.0558569,0.038701735,0.080694816,Disabled,Disability_Status
71,0.057632954,0.039933357,0.083010516,Disabled,Disability_Status
72,0.06175121,0.041881149,0.091264919,Disabled,Disability_Status
73,0.063564703,0.042417439,0.094460409,Disabled,Disability_Status
74,0.044460194,0.030394303,0.064870672,Disabled,Disability_Status
75,0.049414784,0.036164239,0.067203849,Disabled,Disability_Status
76,0.049327024,0.034784125,0.069541042,Disabled,Disability_Status
77,0.045518958,0.032652951,0.063128681,Disabled,Disability_Status
78,0.064698184,0.040641614,0.103235548,Disabled,Disability_Status
79,0.043501327,0.03076285,0.061304573,Disabled,Disability_Status
80,0.04212252,0.029043657,0.060795075,Disabled,Disability_Status
81,0.046445466,0.032540207,0.066014277,Disabled,Disability_Status
82,0.035169788,0.024481444,0.050518082,Disabled,Disability_Status
83,0.02697265,0.017004697,0.042530384,Disabled,Disability_Status
84,0.051099536,0.034304074,0.07571735,Disabled,Disability_Status
85,0.032540318,0.021890764,0.048617118,Disabled,Disability_Status
86,0.030160424,0.020997073,0.043155844,Disabled,Disability_Status
87,0.033071373,0.022089715,0.049579239,Disabled,Disability_Status
89,0.042775183,0.029993491,0.060663137,Disabled,Disability_Status
16,0.165140571,0.098062922,0.264638556,Lost Disabilty Benifits,Disability_Status
17,0.266966484,0.163859239,0.403633677,Lost Disabilty Benifits,Disability_Status
19,0.14493689,0.079990428,0.248378953,Lost Disabilty Benifits,Disability_Status
20,0.178269404,0.078541406,0.355740172,Lost Disabilty Benifits,Disability_Status
21,0.161313392,0.098688193,0.25243518,Lost Disabilty Benifits,Disability_Status
22,0.151092164,0.088649161,0.245825393,Lost Disabilty Benifits,Disability_Status
23,0.174452663,0.10376389,0.27859932,Lost Disabilty Benifits,Disability_Status
24,0.159520251,0.090915284,0.264814397,Lost Disabilty Benifits,Disability_Status
25,0.162991663,0.099704774,0.255151538,Lost Disabilty Benifits,Disability_Status
26,0.15241764,0.090391606,0.245536972,Lost Disabilty Benifits,Disability_Status
27,0.143178827,0.083192851,0.235977518,Lost Disabilty Benifits,Disability_Status
28,0.09347475,0.052470288,0.161651744,Lost Disabilty Benifits,Disability_Status
29,0.154344517,0.094047586,0.242933429,Lost Disabilty Benifits,Disability_Status
30,0.142816968,0.088490596,0.222364903,Lost Disabilty Benifits,Disability_Status
31,0.165950092,0.101022331,0.26046943,Lost Disabilty Benifits,Disability_Status
32,0.12051027,0.073543754,0.191285997,Lost Disabilty Benifits,Disability_Status
33,0.140071603,0.080701728,0.232077137,Lost Disabilty Benifits,Disability_Status
34,0.129765379,0.073792584,0.2181927,Lost Disabilty Benifits,Disability_Status
35,0.167655779,0.090753801,0.289578196,Lost Disabilty Benifits,Disability_Status
36,0.173738238,0.101974776,0.278934823,Lost Disabilty Benifits,Disability_Status
37,0.117295734,0.068746248,0.192891839,Lost Disabilty Benifits,Disability_Status
38,0.129608966,0.080231282,0.202679233,Lost Disabilty Benifits,Disability_Status
39,0.122064634,0.070855068,0.201503292,Lost Disabilty Benifits,Disability_Status
40,0.092661747,0.050900331,0.162808966,Lost Disabilty Benifits,Disability_Status
41,0.143545629,0.070582868,0.270019039,Lost Disabilty Benifits,Disability_Status
42,0.115554103,0.066747281,0.19280447,Lost Disabilty Benifits,Disability_Status
43,0.111552054,0.063215928,0.190180907,Lost Disabilty Benifits,Disability_Status
45,0.097868654,0.057637222,0.161373228,Lost Disabilty Benifits,Disability_Status
46,0.108038564,0.066282453,0.171274627,Lost Disabilty Benifits,Disability_Status
47,0.110512465,0.066974049,0.177063848,Lost Disabilty Benifits,Disability_Status
48,0.104190597,0.059506732,0.17642679,Lost Disabilty Benifits,Disability_Status
50,0.103745205,0.058929875,0.176595156,Lost Disabilty Benifits,Disability_Status
51,0.092932974,0.053773309,0.156254825,Lost Disabilty Benifits,Disability_Status
53,0.109577042,0.060638985,0.188875415,Lost Disabilty Benifits,Disability_Status
54,0.104855748,0.061541624,0.173057918,Lost Disabilty Benifits,Disability_Status
56,0.077008704,0.042897822,0.134162931,Lost Disabilty Benifits,Disability_Status
