"","Year","mean_rent","sd_rent","LL_rent","UL_rent"
"1",2011,1140.61415630904,585.435226159862,555.178930149174,1726.0493824689
"2",2013,1352.22355735204,655.429334287514,696.794223064525,2007.65289163955
"3",2014,1406.35587852867,643.279258247965,763.0766202807,2049.63513677663
"4",2015,1406.35587852867,643.279258247965,763.0766202807,2049.63513677663
"5",2016,1474.86222585703,779.72902776977,695.133198087259,2254.5912536268
"6",2017,1660.27626611937,1085.56699891151,574.709267207861,2745.84326503088
"7",2018,1663.7424404207,1134.44510025663,529.29734016407,2798.18754067732
"8",2019,1797.98354643234,1239.86387267308,558.119673759263,3037.84741910542
