Income_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
18961,0.098022276,0.058777088,0.159043492,Lost Disabilty Benifits,Disability_Status
23961,0.125577843,0.073175428,0.207248689,Lost Disabilty Benifits,Disability_Status
26461,0.045057427,0.025596387,0.0781284,Lost Disabilty Benifits,Disability_Status
28961,0.114911414,0.065075232,0.194978099,Lost Disabilty Benifits,Disability_Status
31461,0.121329123,0.0726341,0.195778102,Lost Disabilty Benifits,Disability_Status
38961,0.100567938,0.059432783,0.165174133,Lost Disabilty Benifits,Disability_Status
-23539,0.119314585,0.086830956,0.162628859,No,Disability_Status
-21039,0.141829595,0.104965735,0.18931489,No,Disability_Status
-18539,0.139487803,0.102281548,0.188354087,No,Disability_Status
-16039,0.130836093,0.096613725,0.176187906,No,Disability_Status
-13539,0.136865212,0.099686033,0.191966343,No,Disability_Status
-11039,0.13473943,0.101216407,0.178597416,No,Disability_Status
-8539,0.129200804,0.096143255,0.173024137,No,Disability_Status
-6039,0.135335443,0.099989076,0.181905168,No,Disability_Status
-3539,0.132122588,0.098805644,0.175889597,No,Disability_Status
-1039,0.121974214,0.091386102,0.161919943,No,Disability_Status
1461,0.122861024,0.092787544,0.162740493,No,Disability_Status
3961,0.118399872,0.08882088,0.157014854,No,Disability_Status
6461,0.120643481,0.089695892,0.162079233,No,Disability_Status
8961,0.120066915,0.089898927,0.159508899,No,Disability_Status
11461,0.115431058,0.087919103,0.15169199,No,Disability_Status
13961,0.116093889,0.088680212,0.15168538,No,Disability_Status
16461,0.115187778,0.086944956,0.152912048,No,Disability_Status
18961,0.119412207,0.089782973,0.158254486,No,Disability_Status
21461,0.114789291,0.086120384,0.153559911,No,Disability_Status
23961,0.114647409,0.087061805,0.150453399,No,Disability_Status
26461,0.114204063,0.087735292,0.148326063,No,Disability_Status
28961,0.113460348,0.08602811,0.149608283,No,Disability_Status
31461,0.116883118,0.08839165,0.154247044,No,Disability_Status
33961,0.117025556,0.089768527,0.152371044,No,Disability_Status
36461,0.118051958,0.090119134,0.154355354,No,Disability_Status
38961,0.122257449,0.092774438,0.162035254,No,Disability_Status
41461,0.117533997,0.089523279,0.153728928,No,Disability_Status
43961,0.114716736,0.086251608,0.151955286,No,Disability_Status
46461,0.125788385,0.094546036,0.166307039,No,Disability_Status
48961,0.118827391,0.089284858,0.157062362,No,Disability_Status
51461,0.120513503,0.089509521,0.161691518,No,Disability_Status
53961,0.119898719,0.087295341,0.163975574,No,Disability_Status
56461,0.109548024,0.08301604,0.14359077,No,Disability_Status
58961,0.109832553,0.07480624,0.159716706,No,Disability_Status
61461,0.094810367,0.067646668,0.132183473,No,Disability_Status
63961,0.121349335,0.090298242,0.161882498,No,Disability_Status
66461,0.112166953,0.079640496,0.156494073,No,Disability_Status
68961,0.124406873,0.083527591,0.182244702,No,Disability_Status
71461,0.130013206,0.092609987,0.17874686,No,Disability_Status
73961,0.171225342,0.126129012,0.228211518,No,Disability_Status
76461,0.126656608,0.085063373,0.185959421,No,Disability_Status
78961,0.178179654,0.123161796,0.253108922,No,Disability_Status
81461,0.203089439,0.104665736,0.357147454,No,Disability_Status
86461,0.159013538,0.121195705,0.205867618,No,Disability_Status
88961,0.132869579,0.090035691,0.192101675,No,Disability_Status
91461,0.0883436,0.055147492,0.138591122,No,Disability_Status
93961,0.156621634,0.109373776,0.219255223,No,Disability_Status
96461,0.114166246,0.079430247,0.16142902,No,Disability_Status
98961,0.14733315,0.103606525,0.20510017,No,Disability_Status
101461,0.151089435,0.102434369,0.217261014,No,Disability_Status
NA,0.099755913,0.056603138,0.169883014,No,Disability_Status
-23539,0.1040032,0.071952406,0.150003153,Female,Gender
-21039,0.126713152,0.090711371,0.176103538,Female,Gender
-18539,0.122716734,0.085740498,0.175247139,Female,Gender
-16039,0.124178342,0.089189827,0.172508734,Female,Gender
-13539,0.120206554,0.086900379,0.166374935,Female,Gender
-11039,0.121765211,0.090910411,0.162781099,Female,Gender
-8539,0.121114465,0.087554313,0.166831315,Female,Gender
-6039,0.127253142,0.092256648,0.175164982,Female,Gender
-3539,0.122974236,0.090905315,0.166538663,Female,Gender
-1039,0.105001923,0.0773909,0.142171754,Female,Gender
1461,0.106921461,0.080043176,0.14241495,Female,Gender
3961,0.108914408,0.080630796,0.146561952,Female,Gender
6461,0.109912884,0.081039986,0.148354264,Female,Gender
8961,0.110290264,0.08289607,0.146290353,Female,Gender
11461,0.106411975,0.081065251,0.139325699,Female,Gender
13961,0.111514786,0.084580605,0.146969031,Female,Gender
16461,0.106833962,0.081314039,0.139999215,Female,Gender
18961,0.110047526,0.082663337,0.145781641,Female,Gender
21461,0.106218773,0.079522682,0.142035271,Female,Gender
23961,0.106437279,0.080338434,0.140738945,Female,Gender
26461,0.104124964,0.079415563,0.136584539,Female,Gender
28961,0.106264707,0.079521398,0.14220208,Female,Gender
31461,0.108547579,0.082599302,0.142634978,Female,Gender
33961,0.1114125,0.085348504,0.145260139,Female,Gender
36461,0.115197959,0.087495244,0.151235042,Female,Gender
38961,0.115680686,0.087538532,0.152719037,Female,Gender
41461,0.111801822,0.0855129,0.145541183,Female,Gender
43961,0.111318502,0.084236817,0.146580108,Female,Gender
46461,0.120411327,0.091062235,0.158630264,Female,Gender
48961,0.103918773,0.078587322,0.136706436,Female,Gender
51461,0.110726476,0.081769885,0.14986878,Female,Gender
53961,0.114028235,0.085579975,0.151699834,Female,Gender
56461,0.102378863,0.077851031,0.133803391,Female,Gender
58961,0.107365829,0.069460498,0.162918519,Female,Gender
61461,0.091546561,0.067628003,0.123156072,Female,Gender
63961,0.102955881,0.075815897,0.139071704,Female,Gender
66461,0.090853954,0.065971802,0.123993486,Female,Gender
68961,0.094175331,0.067381476,0.130273145,Female,Gender
71461,0.130013206,0.092609987,0.17874686,Female,Gender
73961,0.165440372,0.115040103,0.235714936,Female,Gender
76461,0.118481321,0.079066348,0.175826177,Female,Gender
78961,0.199303736,0.152544747,0.256064808,Female,Gender
81461,0.144030171,0.077586907,0.248320651,Female,Gender
86461,0.159013538,0.121195705,0.205867618,Female,Gender
88961,0.123960184,0.080071283,0.187015073,Female,Gender
91461,0.0883436,0.055147492,0.138591122,Female,Gender
NA,0.099755913,0.056603138,0.169883014,Female,Gender
-23539,0.116562992,0.08227547,0.164977684,Male,Gender
-21039,0.110603717,0.068009416,0.178998952,Male,Gender
-18539,0.122686493,0.08365719,0.180653005,Male,Gender
-16039,0.116574421,0.083145584,0.163740485,Male,Gender
-13539,0.135174644,0.094470759,0.192891644,Male,Gender
-11039,0.135034062,0.092393004,0.197162417,Male,Gender
-8539,0.127868182,0.0931688,0.176624454,Male,Gender
-6039,0.131993898,0.095244756,0.182135398,Male,Gender
-3539,0.128632109,0.091822922,0.180815862,Male,Gender
-1039,0.133400852,0.094646731,0.18611305,Male,Gender
1461,0.126976308,0.095026269,0.168688705,Male,Gender
3961,0.114574198,0.082819632,0.157340129,Male,Gender
6461,0.117572957,0.086247415,0.160015897,Male,Gender
8961,0.123028194,0.089087257,0.168557361,Male,Gender
11461,0.115589795,0.085380227,0.156111701,Male,Gender
13961,0.113884251,0.084438461,0.153867728,Male,Gender
16461,0.114365755,0.083086351,0.15686017,Male,Gender
18961,0.125461149,0.091806496,0.171379945,Male,Gender
21461,0.122136182,0.09049401,0.163878432,Male,Gender
