Total_Crimes_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
57,0.101745776,0.056846347,0.175011141,Lost Disabilty Benifits,Disability_Status
62,0.107014166,0.063534761,0.174550769,Lost Disabilty Benifits,Disability_Status
67,0.080314902,0.046214297,0.136111308,Lost Disabilty Benifits,Disability_Status
72,0.103707331,0.061518413,0.169345971,Lost Disabilty Benifits,Disability_Status
82,0.147536301,0.085915024,0.242894446,Lost Disabilty Benifits,Disability_Status
87,0.145359851,0.086267089,0.233982018,Lost Disabilty Benifits,Disability_Status
92,0.087889297,0.052288971,0.144043712,Lost Disabilty Benifits,Disability_Status
97,0.117471067,0.065558093,0.201239809,Lost Disabilty Benifits,Disability_Status
102,0.081761527,0.04902947,0.133282849,Lost Disabilty Benifits,Disability_Status
107,0.114305169,0.067867786,0.186170472,Lost Disabilty Benifits,Disability_Status
112,0.142509782,0.083207733,0.232960223,Lost Disabilty Benifits,Disability_Status
117,0.139009556,0.080336231,0.229825987,Lost Disabilty Benifits,Disability_Status
122,0.095768801,0.05635461,0.157625878,Lost Disabilty Benifits,Disability_Status
127,0.076924098,0.041541111,0.138497196,Lost Disabilty Benifits,Disability_Status
132,0.115166927,0.066596914,0.191877906,Lost Disabilty Benifits,Disability_Status
137,0.102744448,0.058872828,0.173289182,Lost Disabilty Benifits,Disability_Status
142,0.127709831,0.07200094,0.212784251,Lost Disabilty Benifits,Disability_Status
172,0.178388231,0.089529163,0.32405159,Lost Disabilty Benifits,Disability_Status
177,0.027887858,0.014170864,0.054153149,Lost Disabilty Benifits,Disability_Status
187,0.092661747,0.050900331,0.162808966,Lost Disabilty Benifits,Disability_Status
197,0.047793665,0.025149453,0.088965727,Lost Disabilty Benifits,Disability_Status
222,0.062102783,0.031953245,0.117254259,Lost Disabilty Benifits,Disability_Status
227,0.064606324,0.032638404,0.123875886,Lost Disabilty Benifits,Disability_Status
292,0.025353695,0.011573694,0.054633733,Lost Disabilty Benifits,Disability_Status
2,0.144395538,0.106671084,0.194553592,No,Disability_Status
7,0.142356213,0.108618153,0.18643229,No,Disability_Status
12,0.136300012,0.105983357,0.175099145,No,Disability_Status
17,0.131405375,0.100703806,0.171898379,No,Disability_Status
22,0.131932511,0.100765854,0.173087207,No,Disability_Status
27,0.127204283,0.096953108,0.166206126,No,Disability_Status
32,0.126223978,0.096313246,0.164891143,No,Disability_Status
37,0.120624368,0.09173645,0.158314358,No,Disability_Status
42,0.114118429,0.087145415,0.149051349,No,Disability_Status
47,0.117053706,0.088651112,0.154257176,No,Disability_Status
52,0.114572976,0.086603701,0.150740078,No,Disability_Status
57,0.11539923,0.087591616,0.151666479,No,Disability_Status
