Income_Change_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-45330,0.140273053,0.10062922,0.19287888,No,Disability_Status
-42830,0.13057441,0.090893915,0.186395952,No,Disability_Status
-40330,0.138754433,0.091469817,0.206123741,No,Disability_Status
-37830,0.102242723,0.073595989,0.141035939,No,Disability_Status
-35330,0.13117276,0.091779092,0.189729054,No,Disability_Status
-32830,0.127842524,0.093656397,0.173189194,No,Disability_Status
-30330,0.135605068,0.100309024,0.181663779,No,Disability_Status
-27830,0.13306802,0.097991061,0.179341621,No,Disability_Status
-25330,0.120769975,0.089489871,0.162119679,No,Disability_Status
-22830,0.129706854,0.09674993,0.173608488,No,Disability_Status
-20330,0.136709266,0.102273762,0.181488486,No,Disability_Status
-17830,0.142723365,0.10673465,0.189645787,No,Disability_Status
-15330,0.137614577,0.104498021,0.18211584,No,Disability_Status
-12830,0.128655311,0.097472044,0.168487544,No,Disability_Status
-10330,0.118544654,0.089089411,0.158776218,No,Disability_Status
-7830,0.127771236,0.097282824,0.168341426,No,Disability_Status
-5330,0.114521502,0.086361607,0.151332545,No,Disability_Status
-2830,0.110493612,0.084187605,0.144857927,No,Disability_Status
-330,0.104397782,0.079003191,0.137941437,No,Disability_Status
2170,0.119047934,0.091238692,0.155023598,No,Disability_Status
4670,0.122812436,0.094103598,0.160485728,No,Disability_Status
7170,0.124736383,0.095398321,0.162398126,No,Disability_Status
9670,0.125147424,0.093412966,0.168527124,No,Disability_Status
12170,0.120838276,0.092294418,0.157339934,No,Disability_Status
14670,0.133226127,0.099833914,0.177319498,No,Disability_Status
17170,0.116858334,0.085243366,0.159867879,No,Disability_Status
19670,0.130150074,0.096170086,0.175410984,No,Disability_Status
22170,0.124423066,0.089282491,0.171699067,No,Disability_Status
24670,0.116657156,0.083392805,0.16335084,No,Disability_Status
27170,0.110064384,0.079395383,0.150793168,No,Disability_Status
29670,0.162318886,0.103422727,0.248916805,No,Disability_Status
32170,0.109092044,0.079580278,0.14802256,No,Disability_Status
34670,0.146811463,0.102130534,0.21005812,No,Disability_Status
37170,0.101791054,0.069948712,0.146095301,No,Disability_Status
39670,0.114166246,0.079430247,0.16142902,No,Disability_Status
42170,0.162431276,0.115239536,0.223251735,No,Disability_Status
